Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
223,70,MRU,0.10,1.54%
12818,125,MRU,0.10,1.54%
11818,24,MRU,0.10,1.54%
11035,99,MRU,0.10,1.53%
11660,37,MRU,0.10,1.53%
3322,136,MRU,0.10,1.53%
12490,63,MRU,0.10,1.52%
7552,39,MRU,0.10,1.52%
8153,114,MRU,0.10,1.52%
10571,104,MRU,0.10,1.52%
11702,143,MRU,0.10,1.51%
2093,125,MRU,0.10,1.51%
2762,128,MRU,0.10,1.51%
7313,119,MRU,0.10,1.50%
372,19,MRU,0.10,1.50%
3087,110,MRU,0.10,1.50%
8466,202,MRU,0.10,1.50%
2832,35,MRU,0.10,1.49%
3310,43,MRU,0.10,1.49%
12300,156,MRU,0.10,1.49%
3310,43,MRU,0.00,1.67%
6979,88,MRU,0.10,1.67%
10337,148,MRU,0.10,1.66%
10138,34,MRU,0.10,1.66%
7793,101,MRU,0.10,1.66%
790,77,MRU,0.10,1.65%
8440,171,MRU,0.10,1.65%
4046,157,MRU,0.10,1.65%
11939,94,MRU,0.10,1.65%
11370,37,MRU,0.10,1.64%
12663,55,MRU,0.10,1.64%
323,99,MRU,0.10,1.64%
1507,21,MRU,0.10,1.63%
1527,153,MRU,0.00,1.81%
9167,91,MRU,0.10,1.81%
1491,91,MRU,0.10,1.81%
10428,86,MRU,0.10,1.80%
999,49,MRU,0.10,1.80%
2181,45,MRU,0.00,1.97%
3673,162,MRU,0.10,1.97%
1557,122,MRU,0.10,1.97%
5351,191,MRU,0.10,1.96%
12969,94,MRU,0.10,1.96%
3805,30,MRU,0.10,1.96%
374,45,MRU,0.10,1.95%
9270,91,MRU,0.00,2.13%
1649,29,MRU,0.10,2.12%
1376,34,MRU,0.10,2.12%
3163,53,MRU,0.10,2.12%
8729,140,MRU,0.10,2.11%
11505,55,MRU,0.10,2.11%
1587,78,MRU,0.10,2.11%
7225,44,MRU,0.10,2.10%
292,117,MRU,0.10,2.10%
11672,37,MRU,0.10,2.09%
6498,137,MRU,0.10,2.09%
8561,26,MRU,0.10,2.09%
9527,197,MRU,0.10,2.08%
7228,119,MRU,0.10,2.08%
9160,153,MRU,0.10,2.08%
12627,156,MRU,0.10,2.07%
6204,155,MRU,0.10,2.07%
11156,130,MRU,0.10,2.07%
5557,129,MRU,0.10,2.06%
7512,88,MRU,0.10,2.06%
11692,143,MRU,0.10,2.05%
9464,91,MRU,0.10,2.05%
4479,139,MRU,0.10,2.05%
9672,60,MRU,0.10,2.04%
7408,132,MRU,0.10,2.04%
3299,30,MRU,0.10,2.04%
10734,73,MRU,0.10,2.03%
7239,44,MRU,0.00,2.20%
437,115,MRU,0.10,2.20%
8717,47,MRU,0.10,2.19%
11224,130,MRU,0.10,2.19%
10110,86,MRU,0.10,2.18%
7437,132,MRU,0.10,2.18%
12542,112,MRU,0.10,2.18%
1989,24,MRU,0.10,2.17%
1799,68,MRU,0.10,2.17%
3939,25,MRU,0.10,2.17%
9571,73,MRU,0.10,2.16%
10921,161,MRU,0.10,2.16%
9999,91,MRU,0.09,2.16%
401,19,MRU,0.09,2.15%
8821,47,MRU,0.09,2.15%
9004,39,MRU,0.09,2.15%
9630,73,MRU,0.09,2.14%
117,20,MRU,0.09,2.14%
10802,161,MRU,0.09,2.13%
1853,130,MRU,0.09,2.13%
12328,37,MRU,0.09,2.13%
10014,65,MRU,0.09,2.12%
2842,35,MRU,0.09,2.12%
9398,83,MRU,0.09,2.12%
3723,131,MRU,0.09,2.11%
12160,112,MRU,0.09,2.11%
4211,126,MRU,0.09,2.11%
923,67,MRU,0.09,2.10%
10451,86,MRU,0.09,2.10%
4058,38,MRU,0.09,2.10%
2503,63,MRU,0.09,2.09%
9881,166,MRU,0.09,2.09%
8497,127,MRU,0.09,2.09%
1616,29,MRU,0.09,2.08%
6170,36,MRU,0.09,2.08%
9796,135,MRU,0.09,2.08%
11204,37,MRU,0.09,2.07%
6853,31,MRU,0.09,2.07%
6015,155,MRU,0.09,2.07%
7196,70,MRU,0.09,2.06%
4868,134,MRU,0.09,2.06%
11144,37,MRU,0.09,2.06%
6223,36,MRU,0.09,2.05%
12605,63,MRU,0.09,2.05%
877,54,MRU,0.09,2.05%
7255,57,MRU,0.09,2.04%
12951,50,MRU,0.09,2.04%
10325,104,MRU,0.09,2.04%
7282,119,MRU,0.09,2.03%
7093,57,MRU,0.09,2.03%
7553,132,MRU,0.09,2.03%
5662,36,MRU,0.09,2.02%
5223,59,MRU,0.09,2.02%
5425,160,MRU,0.09,2.02%
7726,145,MRU,0.09,2.02%
12385,94,MRU,0.09,2.01%
4245,126,MRU,0.09,2.01%
4089,64,MRU,0.09,2.01%
843,41,MRU,0.09,2.00%
11125,130,MRU,0.09,2.00%
850,59,MRU,0.09,2.00%
4506,46,MRU,0.09,1.99%
10918,161,MRU,0.09,1.99%
6753,75,MRU,0.09,1.99%
9886,135,MRU,0.09,1.98%
10965,130,MRU,0.09,1.98%
3651,43,MRU,0.09,1.98%
8616,34,MRU,0.09,1.98%
4517,38,MRU,0.00,2.12%
9808,42,MRU,0.09,2.12%
477,35,MRU,0.09,2.12%
8965,47,MRU,0.09,2.11%
5859,98,MRU,0.09,2.11%
12775,156,MRU,0.09,2.11%
12309,37,MRU,0.09,2.11%
5492,129,MRU,0.09,2.10%
8160,52,MRU,0.09,2.10%
482,22,MRU,0.09,2.10%
7659,176,MRU,0.09,2.09%
12979,50,MRU,0.09,2.09%
6643,106,MRU,0.09,2.09%
11564,50,MRU,0.00,2.23%
12018,94,MRU,0.09,2.23%
5907,124,MRU,0.09,2.23%
414,89,MRU,0.09,2.22%
12616,94,MRU,0.09,2.22%
7858,101,MRU,0.09,2.22%
6541,44,MRU,0.09,2.21%
9747,122,MRU,0.09,2.21%
10512,55,MRU,0.09,2.21%
2047,156,MRU,0.09,2.20%
7644,31,MRU,0.09,2.20%
4005,144,MRU,0.09,2.20%
11452,81,MRU,0.09,2.19%
11160,130,MRU,0.09,2.19%
